"book","section","word"
"Pride & Prejudice",10,"mention"
"Pride & Prejudice",10,"consideration"
"Pride & Prejudice",10,"twenty"
"Pride & Prejudice",10,"ah"
"Pride & Prejudice",10,"suffer"
"Pride & Prejudice",10,"hope"
"Pride & Prejudice",10,"live"
"Pride & Prejudice",10,"thousand"
"Pride & Prejudice",10,"neighbourhood"
"Pride & Prejudice",10,"twenty"
"Pride & Prejudice",10,"visit"
"Pride & Prejudice",11,"depend"
"Pride & Prejudice",11,"dear"
"Pride & Prejudice",11,"twenty"
"Pride & Prejudice",11,"visit"
"Pride & Prejudice",11,"bennet"
"Pride & Prejudice",11,"odd"
"Pride & Prejudice",11,"mixture"
"Pride & Prejudice",11,"quick"
"Pride & Prejudice",11,"sarcastic"
"Pride & Prejudice",11,"humour"
"Pride & Prejudice",11,"reserve"
"Pride & Prejudice",11,"caprice"
"Pride & Prejudice",11,"experience"
"Pride & Prejudice",11,"twenty"
"Pride & Prejudice",11,"insufficient"
"Pride & Prejudice",11,"wife"
"Pride & Prejudice",11,"understand"
"Pride & Prejudice",11,"character"
"Pride & Prejudice",11,"_her_"
"Pride & Prejudice",11,"mind"
"Pride & Prejudice",11,"difficult"
"Pride & Prejudice",11,"develop"
"Pride & Prejudice",11,"woman"
"Pride & Prejudice",11,"understanding"
"Pride & Prejudice",11,"information"
"Pride & Prejudice",11,"uncertain"
"Pride & Prejudice",11,"temper"
"Pride & Prejudice",11,"discontented"
"Pride & Prejudice",11,"fancied"
"Pride & Prejudice",11,"nervous"
"Pride & Prejudice",11,"business"
"Pride & Prejudice",11,"life"
"Pride & Prejudice",12,"daughters"
"Pride & Prejudice",12,"married"
"Pride & Prejudice",12,"solace"
"Pride & Prejudice",12,"visiting"
"Pride & Prejudice",12,"news"
"Pride & Prejudice",12,"chapter"
"Pride & Prejudice",12,"2"
"Pride & Prejudice",12,"bennet"
"Pride & Prejudice",12,"earliest"
"Pride & Prejudice",12,"waited"
"Pride & Prejudice",12,"bingley"
"Pride & Prejudice",12,"intended"
"Pride & Prejudice",12,"visit"
"Pride & Prejudice",12,"assuring"
"Pride & Prejudice",12,"wife"
"Pride & Prejudice",12,"till"
"Pride & Prejudice",12,"evening"
"Pride & Prejudice",12,"visit"
"Pride & Prejudice",13,"paid"
"Pride & Prejudice",13,"knowledge"
"Pride & Prejudice",13,"disclosed"
"Pride & Prejudice",13,"manner"
"Pride & Prejudice",13,"observing"
"Pride & Prejudice",13,"daughter"
"Pride & Prejudice",13,"employed"
"Pride & Prejudice",13,"trimming"
"Pride & Prejudice",13,"hat"
"Pride & Prejudice",13,"suddenly"
"Pride & Prejudice",13,"addressed"
"Pride & Prejudice",13,"hope"
"Pride & Prejudice",13,"bingley"
"Pride & Prejudice",13,"lizzy"
"Pride & Prejudice",13,"_what_"
"Pride & Prejudice",13,"bingley"
"Pride & Prejudice",13,"likes"
"Pride & Prejudice",13,"mother"
"Pride & Prejudice",13,"resentfully"
"Pride & Prejudice",13,"visit"
"Pride & Prejudice",13,"forget"
"Pride & Prejudice",13,"mamma"
"Pride & Prejudice",13,"elizabeth"
"Pride & Prejudice",13,"meet"
"Pride & Prejudice",14,"assemblies"
"Pride & Prejudice",14,"promised"
"Pride & Prejudice",14,"introduce"
"Pride & Prejudice",14,"nieces"
"Pride & Prejudice",14,"selfish"
"Pride & Prejudice",14,"hypocritical"
"Pride & Prejudice",14,"woman"
"Pride & Prejudice",14,"opinion"
"Pride & Prejudice",14,"bennet"
"Pride & Prejudice",14,"glad"
"Pride & Prejudice",14,"depend"
"Pride & Prejudice",14,"serving"
"Pride & Prejudice",14,"bennet"
"Pride & Prejudice",14,"deigned"
"Pride & Prejudice",14,"reply"
"Pride & Prejudice",14,"unable"
"Pride & Prejudice",15,"scolding"
"Pride & Prejudice",15,"daughters"
"Pride & Prejudice",15,"coughing"
"Pride & Prejudice",15,"kitty"
"Pride & Prejudice",15,"heaven's"
"Pride & Prejudice",15,"sake"
"Pride & Prejudice",15,"compassion"
"Pride & Prejudice",15,"nerves"
"Pride & Prejudice",15,"tear"
"Pride & Prejudice",15,"pieces"
"Pride & Prejudice",15,"kitty"
"Pride & Prejudice",15,"discretion"
"Pride & Prejudice",15,"coughs"
"Pride & Prejudice",15,"father"
"Pride & Prejudice",15,"times"
"Pride & Prejudice",15,"ill"
"Pride & Prejudice",15,"cough"
"Pride & Prejudice",15,"amusement"
"Pride & Prejudice",15,"replied"
"Pride & Prejudice",15,"kitty"
"Pride & Prejudice",15,"fretfully"
"Pride & Prejudice",15,"ball"
"Pride & Prejudice",15,"lizzy"
"Pride & Prejudice",16,"morrow"
"Pride & Prejudice",16,"fortnight"
"Pride & Prejudice",16,"aye"
"Pride & Prejudice",16,"cried"
"Pride & Prejudice",16,"mother"
"Pride & Prejudice",16,"till"
"Pride & Prejudice",16,"day"
"Pride & Prejudice",16,"impossible"
"Pride & Prejudice",16,"introduce"
"Pride & Prejudice",16,"dear"
"Pride & Prejudice",16,"advantage"
"Pride & Prejudice",16,"friend"
"Pride & Prejudice",16,"introduce"
"Pride & Prejudice",16,"bingley"
"Pride & Prejudice",16,"_her_"
"Pride & Prejudice",17,"impossible"
"Pride & Prejudice",17,"bennet"
"Pride & Prejudice",17,"impossible"
"Pride & Prejudice",17,"acquainted"
"Pride & Prejudice",17,"teasing"
"Pride & Prejudice",17,"honour"
"Pride & Prejudice",17,"circumspection"
"Pride & Prejudice",17,"fortnight's"
"Pride & Prejudice",17,"acquaintance"
"Pride & Prejudice",17,"fortnight"
"Pride & Prejudice",17,"_we_"
"Pride & Prejudice",17,"venture"
"Pride & Prejudice",17,"neices"
"Pride & Prejudice",17,"stand"
"Pride & Prejudice",17,"chance"
"Pride & Prejudice",17,"act"
"Pride & Prejudice",17,"kindness"
"Pride & Prejudice",17,"decline"
"Pride & Prejudice",17,"office"
"Pride & Prejudice",18,"girls"
"Pride & Prejudice",18,"stared"
"Pride & Prejudice",18,"father"
"Pride & Prejudice",18,"bennet"
"Pride & Prejudice",18,"nonsense"
"Pride & Prejudice",18,"nonsense"
"Pride & Prejudice",18,"meaning"
"Pride & Prejudice",18,"emphatic"
"Pride & Prejudice",18,"exclamation"
"Pride & Prejudice",18,"cried"
"Pride & Prejudice",18,"forms"
"Pride & Prejudice",18,"introduction"
"Pride & Prejudice",18,"stress"
"Pride & Prejudice",18,"laid"
"Pride & Prejudice",18,"nonsense"
"Pride & Prejudice",18,"agree"
"Pride & Prejudice",18,"_there_"
"Pride & Prejudice",18,"mary"
"Pride & Prejudice",18,"lady"
"Pride & Prejudice",18,"deep"
"Pride & Prejudice",18,"reflection"
"Pride & Prejudice",18,"read"
"Pride & Prejudice",18,"books"
"Pride & Prejudice",18,"extracts"
"Pride & Prejudice",18,"mary"
"Pride & Prejudice",18,"wished"
"Pride & Prejudice",19,"mary"
"Pride & Prejudice",19,"adjusting"
"Pride & Prejudice",19,"ideas"
"Pride & Prejudice",19,"continued"
"Pride & Prejudice",19,"return"
"Pride & Prejudice",19,"bingley"
"Pride & Prejudice",19,"sick"
"Pride & Prejudice",19,"bingley"
"Pride & Prejudice",19,"cried"
"Pride & Prejudice",19,"wife"
"Pride & Prejudice",19,"hear"
"Pride & Prejudice",19,"_that_"
"Pride & Prejudice",19,"morning"
"Pride & Prejudice",19,"called"
"Pride & Prejudice",19,"unlucky"
"Pride & Prejudice",19,"paid"
"Pride & Prejudice",19,"visit"
"Pride & Prejudice",19,"escape"
"Pride & Prejudice",19,"acquaintance"
"Pride & Prejudice",20,"astonishment"
"Pride & Prejudice",20,"ladies"
"Pride & Prejudice",20,"wished"
"Pride & Prejudice",20,"bennet"
"Pride & Prejudice",20,"surpassing"
"Pride & Prejudice",20,"rest"
"Pride & Prejudice",20,"tumult"
"Pride & Prejudice",20,"joy"
"Pride & Prejudice",20,"declare"
"Pride & Prejudice",20,"expected"
"Pride & Prejudice",20,"dear"
"Pride & Prejudice",20,"bennet"
"Pride & Prejudice",20,"persuade"
"Pride & Prejudice",20,"loved"
"Pride & Prejudice",20,"girls"
"Pride & Prejudice",20,"neglect"
"Pride & Prejudice",20,"acquaintance"
"Pride & Prejudice",20,"pleased"
"Pride & Prejudice",20,"joke"
"Pride & Prejudice",20,"morning"
"Pride & Prejudice",21,"word"
"Pride & Prejudice",21,"till"
"Pride & Prejudice",21,"kitty"
"Pride & Prejudice",21,"cough"
"Pride & Prejudice",21,"choose"
"Pride & Prejudice",21,"bennet"
"Pride & Prejudice",21,"spoke"
"Pride & Prejudice",21,"left"
"Pride & Prejudice",21,"fatigued"
"Pride & Prejudice",21,"raptures"
"Pride & Prejudice",21,"wife"
"Pride & Prejudice",21,"excellent"
"Pride & Prejudice",21,"father"
"Pride & Prejudice",21,"girls"
"Pride & Prejudice",21,"door"
"Pride & Prejudice",21,"shut"
"Pride & Prejudice",21,"amends"
"Pride & Prejudice",21,"kindness"
"Pride & Prejudice",21,"matter"
"Pride & Prejudice",21,"time"
"Pride & Prejudice",21,"life"
"Pride & Prejudice",21,"pleasant"
"Pride & Prejudice",21,"acquaintances"
"Pride & Prejudice",21,"day"
"Pride & Prejudice",21,"sakes"
"Pride & Prejudice",21,"lydia"
"Pride & Prejudice",21,"love"
"Pride & Prejudice",21,"_are_"
"Pride & Prejudice",22,"dare"
"Pride & Prejudice",22,"bingley"
"Pride & Prejudice",22,"dance"
"Pride & Prejudice",22,"ball"
"Pride & Prejudice",22,"lydia"
"Pride & Prejudice",22,"stoutly"
"Pride & Prejudice",22,"afraid"
"Pride & Prejudice",22,"_am_"
"Pride & Prejudice",22,"tallest"
"Pride & Prejudice",22,"rest"
"Pride & Prejudice",22,"evening"
"Pride & Prejudice",22,"spent"
"Pride & Prejudice",22,"conjecturing"
"Pride & Prejudice",22,"return"
"Pride & Prejudice",22,"bennet's"
"Pride & Prejudice",22,"visit"
"Pride & Prejudice",22,"determining"
"Pride & Prejudice",22,"dinner"
"Pride & Prejudice",23,"chapter"
"Pride & Prejudice",23,"3"
"Pride & Prejudice",23,"bennet"
"Pride & Prejudice",23,"assistance"
"Pride & Prejudice",23,"daughters"
"Pride & Prejudice",23,"subject"
"Pride & Prejudice",23,"sufficient"
"Pride & Prejudice",23,"draw"
"Pride & Prejudice",23,"husband"
"Pride & Prejudice",23,"satisfactory"
"Pride & Prejudice",23,"description"
"Pride & Prejudice",23,"bingley"
"Pride & Prejudice",23,"attacked"
"Pride & Prejudice",23,"barefaced"
"Pride & Prejudice",23,"questions"
"Pride & Prejudice",23,"ingenious"
"Pride & Prejudice",23,"suppositions"
"Pride & Prejudice",23,"distant"
"Pride & Prejudice",23,"surmises"
"Pride & Prejudice",23,"eluded"
"Pride & Prejudice",23,"skill"
"Pride & Prejudice",24,"obliged"
"Pride & Prejudice",24,"accept"
"Pride & Prejudice",24,"hand"
"Pride & Prejudice",24,"intelligence"
"Pride & Prejudice",24,"neighbour"
"Pride & Prejudice",24,"lady"
"Pride & Prejudice",24,"lucas"
"Pride & Prejudice",24,"report"
"Pride & Prejudice",24,"highly"
"Pride & Prejudice",24,"favourable"
"Pride & Prejudice",24,"sir"
"Pride & Prejudice",24,"william"
"Pride & Prejudice",24,"delighted"
"Pride & Prejudice",24,"wonderfully"
"Pride & Prejudice",24,"handsome"
"Pride & Prejudice",24,"extremely"
"Pride & Prejudice",24,"agreeable"
"Pride & Prejudice",24,"crown"
"Pride & Prejudice",24,"meant"
"Pride & Prejudice",24,"assembly"
"Pride & Prejudice",24,"party"
"Pride & Prejudice",24,"delightful"
"Pride & Prejudice",24,"fond"
"Pride & Prejudice",24,"dancing"
"Pride & Prejudice",24,"step"
"Pride & Prejudice",24,"falling"
"Pride & Prejudice",24,"love"
"Pride & Prejudice",24,"lively"
"Pride & Prejudice",24,"hopes"
"Pride & Prejudice",24,"bingley's"
"Pride & Prejudice",24,"heart"
"Pride & Prejudice",24,"entertained"
"Pride & Prejudice",24,"daughters"
"Pride & Prejudice",24,"happily"
"Pride & Prejudice",24,"settled"
"Pride & Prejudice",24,"netherfield"
"Pride & Prejudice",24,"bennet"
"Pride & Prejudice",24,"husband"
"Pride & Prejudice",24,"equally"
"Pride & Prejudice",25,"married"
"Pride & Prejudice",25,"days"
"Pride & Prejudice",25,"bingley"
"Pride & Prejudice",25,"returned"
"Pride & Prejudice",25,"bennet's"
"Pride & Prejudice",25,"visit"
"Pride & Prejudice",25,"sat"
"Pride & Prejudice",25,"ten"
"Pride & Prejudice",25,"minutes"
"Pride & Prejudice",25,"library"
"Pride & Prejudice",25,"entertained"
"Pride & Prejudice",25,"hopes"
"Pride & Prejudice",25,"admitted"
"Pride & Prejudice",25,"sight"
"Pride & Prejudice",25,"ladies"
"Pride & Prejudice",25,"beauty"
"Pride & Prejudice",25,"heard"
"Pride & Prejudice",25,"father"
"Pride & Prejudice",25,"ladies"
"Pride & Prejudice",25,"fortunate"
"Pride & Prejudice",25,"advantage"
"Pride & Prejudice",25,"ascertaining"
"Pride & Prejudice",25,"upper"
"Pride & Prejudice",25,"window"
"Pride & Prejudice",25,"wore"
"Pride & Prejudice",25,"blue"
"Pride & Prejudice",25,"coat"
"Pride & Prejudice",25,"rode"
"Pride & Prejudice",25,"black"
"Pride & Prejudice",25,"horse"
"Pride & Prejudice",25,"invitation"
"Pride & Prejudice",25,"dinner"
"Pride & Prejudice",25,"dispatched"
"Pride & Prejudice",26,"bennet"
"Pride & Prejudice",26,"planned"
"Pride & Prejudice",26,"courses"
"Pride & Prejudice",26,"credit"
"Pride & Prejudice",26,"housekeeping"
"Pride & Prejudice",26,"answer"
"Pride & Prejudice",26,"arrived"
"Pride & Prejudice",26,"deferred"
"Pride & Prejudice",26,"bingley"
"Pride & Prejudice",26,"obliged"
"Pride & Prejudice",26,"town"
"Pride & Prejudice",26,"day"
"Pride & Prejudice",26,"unable"
"Pride & Prejudice",26,"accept"
"Pride & Prejudice",26,"honour"
"Pride & Prejudice",26,"invitation"
"Pride & Prejudice",26,"bennet"
"Pride & Prejudice",26,"disconcerted"
"Pride & Prejudice",26,"imagine"
"Pride & Prejudice",26,"business"
"Pride & Prejudice",26,"town"
"Pride & Prejudice",26,"arrival"
"Pride & Prejudice",26,"hertfordshire"
"Pride & Prejudice",26,"fear"
"Pride & Prejudice",26,"flying"
"Pride & Prejudice",26,"settled"
"Pride & Prejudice",26,"netherfield"
"Pride & Prejudice",26,"lady"
"Pride & Prejudice",26,"lucas"
"Pride & Prejudice",26,"quieted"
"Pride & Prejudice",26,"fears"
"Pride & Prejudice",26,"starting"
"Pride & Prejudice",26,"idea"
"Pride & Prejudice",26,"london"
"Pride & Prejudice",26,"party"
"Pride & Prejudice",26,"ball"
"Pride & Prejudice",26,"report"
"Pride & Prejudice",26,"bingley"
"Pride & Prejudice",27,"bring"
"Pride & Prejudice",27,"twelve"
"Pride & Prejudice",27,"ladies"
"Pride & Prejudice",27,"gentlemen"
"Pride & Prejudice",27,"assembly"
"Pride & Prejudice",27,"girls"
"Pride & Prejudice",27,"grieved"
"Pride & Prejudice",27,"ladies"
"Pride & Prejudice",27,"comforted"
"Pride & Prejudice",27,"day"
"Pride & Prejudice",27,"ball"
"Pride & Prejudice",27,"hearing"
"Pride & Prejudice",27,"twelve"
"Pride & Prejudice",27,"brought"
"Pride & Prejudice",27,"london"
"Pride & Prejudice",27,"sisters"
"Pride & Prejudice",27,"cousin"
"Pride & Prejudice",27,"party"
"Pride & Prejudice",27,"entered"
"Pride & Prejudice",27,"assembly"
"Pride & Prejudice",27,"consisted"
"Pride & Prejudice",27,"altogether"
"Pride & Prejudice",27,"bingley"
"Pride & Prejudice",27,"sisters"
"Pride & Prejudice",27,"husband"
"Pride & Prejudice",27,"eldest"
"Pride & Prejudice",27,"bingley"
"Pride & Prejudice",27,"gentlemanlike"
"Pride & Prejudice",27,"pleasant"
"Pride & Prejudice",27,"countenance"
"Pride & Prejudice",27,"easy"
"Pride & Prejudice",27,"unaffected"
"Pride & Prejudice",27,"manners"
"Pride & Prejudice",27,"sisters"
"Pride & Prejudice",27,"fine"
"Pride & Prejudice",27,"women"
"Pride & Prejudice",28,"air"
"Pride & Prejudice",28,"decided"
"Pride & Prejudice",28,"fashion"
"Pride & Prejudice",28,"brother"
"Pride & Prejudice",28,"law"
"Pride & Prejudice",28,"hurst"
"Pride & Prejudice",28,"looked"
"Pride & Prejudice",28,"gentleman"
"Pride & Prejudice",28,"friend"
"Pride & Prejudice",28,"darcy"
"Pride & Prejudice",28,"drew"
"Pride & Prejudice",28,"attention"
"Pride & Prejudice",28,"fine"
"Pride & Prejudice",28,"tall"
"Pride & Prejudice",28,"person"
"Pride & Prejudice",28,"handsome"
"Pride & Prejudice",28,"features"
"Pride & Prejudice",28,"noble"
"Pride & Prejudice",28,"mien"
"Pride & Prejudice",28,"report"
"Pride & Prejudice",28,"circulation"
"Pride & Prejudice",28,"minutes"
"Pride & Prejudice",28,"entrance"
"Pride & Prejudice",28,"ten"
"Pride & Prejudice",28,"thousand"
"Pride & Prejudice",28,"gentlemen"
"Pride & Prejudice",28,"pronounced"
"Pride & Prejudice",28,"fine"
"Pride & Prejudice",28,"figure"
"Pride & Prejudice",28,"ladies"
"Pride & Prejudice",28,"declared"
"Pride & Prejudice",28,"handsomer"
"Pride & Prejudice",28,"bingley"
"Pride & Prejudice",28,"looked"
"Pride & Prejudice",28,"admiration"
"Pride & Prejudice",28,"half"
"Pride & Prejudice",28,"evening"
"Pride & Prejudice",28,"till"
"Pride & Prejudice",28,"manners"
"Pride & Prejudice",28,"disgust"
"Pride & Prejudice",28,"tide"
"Pride & Prejudice",28,"popularity"
"Pride & Prejudice",28,"discovered"
"Pride & Prejudice",28,"proud"
"Pride & Prejudice",28,"company"
"Pride & Prejudice",28,"pleased"
"Pride & Prejudice",29,"estate"
"Pride & Prejudice",29,"derbyshire"
"Pride & Prejudice",29,"save"
"Pride & Prejudice",29,"forbidding"
"Pride & Prejudice",29,"disagreeable"
"Pride & Prejudice",29,"countenance"
"Pride & Prejudice",29,"unworthy"
"Pride & Prejudice",29,"compared"
"Pride & Prejudice",29,"friend"
"Pride & Prejudice",29,"bingley"
"Pride & Prejudice",29,"acquainted"
"Pride & Prejudice",29,"principal"
"Pride & Prejudice",29,"people"
"Pride & Prejudice",29,"lively"
"Pride & Prejudice",29,"unreserved"
"Pride & Prejudice",29,"danced"
"Pride & Prejudice",29,"dance"
"Pride & Prejudice",29,"angry"
"Pride & Prejudice",29,"ball"
"Pride & Prejudice",29,"closed"
"Pride & Prejudice",29,"talked"
"Pride & Prejudice",29,"giving"
"Pride & Prejudice",29,"netherfield"
"Pride & Prejudice",29,"amiable"
"Pride & Prejudice",29,"qualities"
"Pride & Prejudice",29,"speak"
"Pride & Prejudice",29,"contrast"
"Pride & Prejudice",29,"friend"
"Pride & Prejudice",29,"darcy"
"Pride & Prejudice",29,"danced"
"Pride & Prejudice",29,"hurst"
"Pride & Prejudice",29,"miss"
"Pride & Prejudice",29,"bingley"
"Pride & Prejudice",29,"declined"
"Pride & Prejudice",30,"introduced"
"Pride & Prejudice",30,"lady"
"Pride & Prejudice",30,"spent"
"Pride & Prejudice",30,"rest"
"Pride & Prejudice",30,"evening"
"Pride & Prejudice",30,"walking"
"Pride & Prejudice",30,"speaking"
"Pride & Prejudice",30,"occasionally"
"Pride & Prejudice",30,"party"
"Pride & Prejudice",30,"character"
"Pride & Prejudice",30,"decided"
"Pride & Prejudice",30,"proudest"
"Pride & Prejudice",30,"disagreeable"
"Pride & Prejudice",30,"world"
"Pride & Prejudice",30,"hoped"
"Pride & Prejudice",30,"violent"
"Pride & Prejudice",30,"bennet"
"Pride & Prejudice",30,"dislike"
"Pride & Prejudice",30,"behaviour"
"Pride & Prejudice",30,"sharpened"
"Pride & Prejudice",30,"resentment"
"Pride & Prejudice",30,"slighted"
"Pride & Prejudice",30,"daughters"
"Pride & Prejudice",30,"elizabeth"
"Pride & Prejudice",30,"bennet"
"Pride & Prejudice",30,"obliged"
"Pride & Prejudice",30,"scarcity"
"Pride & Prejudice",30,"gentlemen"
"Pride & Prejudice",30,"sit"
"Pride & Prejudice",30,"dances"
"Pride & Prejudice",30,"time"
"Pride & Prejudice",30,"darcy"
"Pride & Prejudice",31,"standing"
"Pride & Prejudice",31,"hear"
"Pride & Prejudice",31,"conversation"
"Pride & Prejudice",31,"bingley"
"Pride & Prejudice",31,"dance"
"Pride & Prejudice",31,"minutes"
"Pride & Prejudice",31,"press"
"Pride & Prejudice",31,"friend"
"Pride & Prejudice",31,"join"
"Pride & Prejudice",31,"darcy"
